date,review_roaster,coffee,rating,link,Roaster Location:,Coffee Origin:,Roast Level:,Agtron:,Est. Price:,Review Date:,Aroma:,Body:,Flavor:,Aftertaste:,With Milk:,Acidity/Structure:,Acidity:
2024-01-04,Madness Roastworks,Joker,93,https://www.coffeereview.com/review/joker/,"Kota Kinabalu, Sabah, Malaysia",Mexico; Ethiopia; Peru,Medium-Light,57/77,RM 130/350 grams,July 2022,9,8,9,8,9,,
2024-01-04,Madness Roastworks,Tropical Grenade,92,https://www.coffeereview.com/review/tropical-grenade/,"Kota Kinabalu, Sabah, Malaysia",Mexico; Panama; Colombia,Medium-Light,58/77,RM 120/350 grams,July 2022,9,9,9,7,9,,
2024-01-04,Madness Roastworks,The Godfather,92,https://www.coffeereview.com/review/the-godfather/,"Kota Kinabalu, Sabah, Malaysia",Ethiopia; Panama; Peru,Medium-Light,56/70,RM 120/350 grams,July 2022,9,8,9,8,8,,
2024-01-04,PT's Coffee Roasting Co.,Panama Static Gesha Natural,95,https://www.coffeereview.com/review/panama-static-gesha-natural/,"Topeka, Kansas","Boquete growing region, Panama",Medium-Light,58/77,$45.00/12 ounces,July 2022,9,9,9,9,,9,
2024-01-04,GK Coffee,Panama La Mula Geisha Washed,95,https://www.coffeereview.com/review/panama-la-mula-geisha-washed/,"Yilan, Taiwan","Chiriqui Province, western Panama",Light,60/82,NT $1800/60 grams,July 2022,9,9,9,9,,,9
2024-01-04,Difference Coffee,Esmeralda Estate Panama Geisha,94,https://www.coffeereview.com/review/esmeralda-estate-panama-geisha-5/,"London, England","Boquete growing region, western Panama",NA,0/0,£50/10 capsules,July 2022,9,9,9,8,9,,
2024-01-04,GK Coffee,Costa Rica San Gabriel SL28 Anaerobic Natural,94,https://www.coffeereview.com/review/costa-rica-san-gabriel-sl28-anaerobic-natural/,"Yilan, Taiwan","Mercedes Sur, Turrubares, San José Province, Costa Rica",Medium-Light,58/76,NT $600/200 grams,July 2022,9,9,9,8,,9,
2024-01-04,GK Coffee,Costa Rica San Gabriel Pina/Canela Anaerobic Honey Espresso,93,https://www.coffeereview.com/review/costa-rica-san-gabriel-pina-canela-anaerobic-honey-espresso/,"Yilan, Taiwan","Mercedes Sur, Turrubares, San José Province, Costa Rica",Medium-Light,58/78,NT $600/200 grams,July 2022,9,8,9,8,9,,
2024-01-04,Dear John Coffee,John Co. Train Blend,91,https://www.coffeereview.com/review/john-co-train-blend/,"Songshan District, Taipei City, Taiwan",Brazil; Guatemala; Nicaragua,Medium-Light,55/71,NT $460/454 grams,July 2022,9,8,9,7,,8,
2024-01-04,Regent Coffee,Burundi Kibingo Intenso,94,https://www.coffeereview.com/review/burundi-kibingo-intenso/,"Glendale, California","Kayanza Province, Burundi",Medium-Light,57/74,$21.00/12 ounces,June 2022,9,8,9,9,,9,
2024-01-04,Jaunt Coffee Roasters,Colombia Planadas Ibague,93,https://www.coffeereview.com/review/colombia-planadas-ibague/,"San Diego, California","Tolima Department, Colombia",Medium-Light,59/77,$26.00/12 ounces,June 2022,9,9,9,8,,8,
2024-01-04,Jaunt Coffee Roasters,Burundi Kabarore Commune,92,https://www.coffeereview.com/review/burundi-kabarore-commune/,"San Diego, California","Kayanza Province, Burundi",Medium-Light,56/72,$20.00/12 ounces,June 2022,9,8,9,8,,8,
2024-01-04,Bird Rock Coffee Roasters,Ecuador Peñaherrera AAA,95,https://www.coffeereview.com/review/ecuador-penaherrera-aaa/,"San Diego, California","Ibarra, Imbabura Province, Ecuador",Medium-Light,58/76,$25.00/12 ounces,June 2022,9,9,9,9,,9,
2024-01-04,PT's Coffee Roasting Co.,Panama Hacienda La Esmeralda Porton 5N49 Gesha Natural,95,https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-porton-5n49-gesha-natural/,"Topeka, Kansas","Alto Quiel, Panama",Medium-Light,60/77,$65.00/8 ounces,June 2022,9,9,10,8,,9,
2024-01-04,Paradise Roasters,Kona SL34 Champagne Natural Uluwehi Farm,95,https://www.coffeereview.com/review/kona-sl34-champagne-natural-uluwehi-farm-2/,"Minneapolis, Minnesota","Holualoa, Kona, Big Island of Hawai’i",Medium-Light,58/76,$30.00/4 ounces,June 2022,9,9,9,9,,9,
2024-01-04,Merge Coffee Company,Ethiopia Yirgacheffe Adado,94,https://www.coffeereview.com/review/ethiopia-yirgacheffe-adado-2/,"Harrisonburg, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/78,$18.99/12 ounces,June 2022,9,9,9,8,,9,
